rank,pattern_id,used_volume,waste_volume,utilization,total_profit,count_J01,count_J02,count_J03,count_J04,count_J05,count_J06,count_J07,num_pieces,source_method,is_valid
191,737,2820000,930000,0.752,29410,0,0,0,5,8,0,0,13,extreme_point,True
192,693,2816000,934000,0.7509333333333333,29050,0,1,4,3,6,3,2,19,extreme_point,True
193,1069,2812000,938000,0.7498666666666667,28910,1,2,4,3,6,2,1,19,extreme_point,True
194,1437,2812000,938000,0.7498666666666667,29110,1,0,2,3,7,3,1,17,ep_alt_weights,True
195,947,2806000,944000,0.7482666666666666,29080,0,1,1,2,7,5,2,18,extreme_point,True
196,1198,2806000,944000,0.7482666666666666,28920,0,1,1,6,4,5,2,19,ep_alt_weights,True
197,667,2804000,946000,0.7477333333333334,29240,0,0,2,2,8,2,3,17,extreme_point,True
198,1148,2802000,948000,0.7472,29120,0,2,1,4,6,2,4,19,extreme_point,True
199,268,2800000,950000,0.7466666666666667,28000,0,0,0,0,0,28,0,28,grid,True
200,1132,2790000,960000,0.744,28760,0,1,3,2,7,4,0,17,extreme_point,True
