rank,pattern_id,used_volume,waste_volume,utilization,total_profit,count_J01,count_J02,count_J03,count_J04,count_J05,count_J06,count_J07,num_pieces,source_method,is_valid
26,1142,3198000,552000,0.8528,33170,2,0,1,1,10,4,0,18,extreme_point,True
27,1177,3194000,556000,0.8517333333333333,32990,1,1,1,3,8,5,0,19,ep_alt_weights,True
28,1147,3190000,560000,0.8506666666666667,33040,0,1,1,2,9,5,0,18,extreme_point,True
29,668,3184000,566000,0.8490666666666666,32800,1,2,2,2,8,5,0,20,extreme_point,True
30,908,3174000,576000,0.8464,32480,1,7,1,4,6,3,0,22,extreme_point,True
31,1025,3170000,580000,0.8453333333333334,32660,0,3,3,0,9,5,0,20,extreme_point,True
32,1281,3170000,580000,0.8453333333333334,33010,0,2,1,1,11,1,0,16,ep_alt_weights,True
33,871,3154000,596000,0.8410666666666666,32730,1,3,1,3,7,3,5,23,extreme_point,True
34,1014,3154000,596000,0.8410666666666666,32570,2,0,1,5,6,5,2,21,extreme_point,True
35,1393,3150000,600000,0.84,32740,1,1,1,2,9,3,2,19,ep_alt_weights,True
36,1252,3140000,610000,0.8373333333333334,32620,0,1,2,4,9,0,0,16,ep_alt_weights,True
37,626,3130000,620000,0.8346666666666667,32340,1,2,5,0,9,2,2,21,extreme_point,True
38,695,3126000,624000,0.8336,32290,0,2,3,1,8,5,2,21,extreme_point,True
39,932,3126000,624000,0.8336,32450,0,1,1,3,8,4,2,19,extreme_point,True
40,860,3124000,626000,0.8330666666666666,32250,1,3,2,1,9,3,0,19,extreme_point,True
41,1095,3124000,626000,0.8330666666666666,32290,0,5,2,1,8,3,3,22,extreme_point,True
42,1219,3124000,626000,0.8330666666666666,32480,1,1,0,4,9,1,0,16,ep_alt_weights,True
43,1052,3120000,630000,0.832,32440,0,1,2,2,10,1,0,16,extreme_point,True
44,1280,3120000,630000,0.832,32200,0,0,4,0,9,6,0,19,ep_alt_weights,True
45,1400,3120000,630000,0.832,32290,0,0,2,1,9,6,0,18,ep_alt_weights,True
46,973,3114000,636000,0.8304,32420,1,0,1,6,6,2,5,21,extreme_point,True
47,1105,3112000,638000,0.8298666666666666,32500,0,1,0,4,8,2,4,19,extreme_point,True
48,1239,3112000,638000,0.8298666666666666,32570,0,0,0,5,8,1,4,18,ep_alt_weights,True
49,1257,3112000,638000,0.8298666666666666,32310,0,1,0,5,6,5,4,21,ep_alt_weights,True
50,1420,3112000,638000,0.8298666666666666,32350,0,0,0,3,7,7,4,21,ep_alt_weights,True
51,1023,3104000,646000,0.8277333333333333,32000,1,0,4,2,8,4,0,19,extreme_point,True
52,1332,3096000,654000,0.8256,32240,0,1,0,2,9,4,2,18,ep_alt_weights,True
53,1300,3092000,658000,0.8245333333333333,31930,1,0,2,1,8,7,1,20,ep_alt_weights,True
54,1312,3090000,660000,0.824,32110,0,0,1,3,9,3,0,16,ep_alt_weights,True
55,825,3088000,662000,0.8234666666666667,31990,1,2,0,3,7,5,3,21,extreme_point,True
56,1376,3086000,664000,0.8229333333333333,31780,0,1,5,4,6,3,2,21,ep_alt_weights,True
57,705,3084000,666000,0.8224,31590,1,1,4,3,6,6,0,21,extreme_point,True
58,867,3082000,668000,0.8218666666666666,32080,0,0,1,4,7,4,4,20,extreme_point,True
59,1352,3070000,680000,0.8186666666666667,31690,0,0,7,1,9,1,0,18,ep_alt_weights,True
60,892,3064000,686000,0.8170666666666667,31630,0,0,4,1,7,7,3,22,extreme_point,True
61,1111,3060000,690000,0.816,31900,0,0,0,2,10,3,0,15,extreme_point,True
62,1292,3060000,690000,0.816,31420,0,2,4,2,7,5,0,20,ep_alt_weights,True
63,1455,3060000,690000,0.816,31510,0,2,2,3,7,5,0,19,ep_alt_weights,True
64,778,3054000,696000,0.8144,31580,0,2,1,4,6,5,3,21,extreme_point,True
65,787,3054000,696000,0.8144,31620,0,1,1,2,7,7,3,21,extreme_point,True
66,1296,3054000,696000,0.8144,31620,1,2,1,4,8,1,0,17,ep_alt_weights,True
67,1018,3050000,700000,0.8133333333333334,31520,0,1,1,2,8,6,0,18,extreme_point,True
68,1434,3050000,700000,0.8133333333333334,31350,0,0,7,3,7,2,0,19,ep_alt_weights,True
69,869,3044000,706000,0.8117333333333333,31170,1,4,2,3,6,5,0,21,extreme_point,True
70,1055,3040000,710000,0.8106666666666666,31490,0,1,0,3,8,5,0,17,extreme_point,True
71,1259,3040000,710000,0.8106666666666666,31720,0,0,0,0,11,4,0,15,ep_alt_weights,True
72,1317,3038000,712000,0.8101333333333334,31400,0,4,1,2,8,3,1,19,ep_alt_weights,True
73,663,3030000,720000,0.808,31330,0,2,1,5,7,2,0,17,extreme_point,True
74,1030,3030000,720000,0.808,31630,0,0,1,3,10,0,0,14,extreme_point,True
75,1029,3028000,722000,0.8074666666666667,31250,0,0,4,3,7,4,1,19,extreme_point,True
76,1013,3026000,724000,0.8069333333333333,31300,0,4,1,6,6,0,2,19,extreme_point,True
77,325,3024000,726000,0.8064,34020,0,0,0,0,0,0,63,63,grid,True
78,615,3024000,726000,0.8064,31160,2,2,2,4,6,3,2,21,extreme_point,True
79,1200,3024000,726000,0.8064,31110,1,1,4,3,7,3,0,19,ep_alt_weights,True
80,1217,3024000,726000,0.8064,31270,1,0,2,5,7,2,0,17,ep_alt_weights,True
81,1381,3016000,734000,0.8042666666666667,31120,0,0,4,4,6,4,2,20,ep_alt_weights,True
82,1298,3014000,736000,0.8037333333333333,30990,1,1,5,3,7,2,0,19,ep_alt_weights,True
83,587,3010000,740000,0.8026666666666666,31100,0,1,3,0,9,5,0,18,extreme_point,True
84,1069,3008000,742000,0.8021333333333334,30730,3,4,4,3,5,3,2,24,extreme_point,True
85,773,3006000,744000,0.8016,31530,0,0,1,1,11,0,2,15,extreme_point,True
86,790,3006000,744000,0.8016,31110,0,1,1,5,6,4,2,19,extreme_point,True
